index,state,region,Commute Mode Share - Auto: Raw Value,Commute Mode Share - Auto: Score,Commute Mode Share - Transit: Raw Value,Commute Mode Share - Transit: Score,Commute Mode Share - Bicycle: Raw Value,Commute Mode Share - Bicycle: Score,Commute Mode Share - Walk: Raw Value,Commute Mode Share - Walk: Score,Complete Streets Policies: Raw Value,Complete Streets Policies: Score,"DUI/DWI Fatalities per 10,000 Residents: Raw Value","DUI/DWI Fatalities per 10,000 Residents: Score",Person Miles of Travel by Private Vehicle: Raw Value,Person Miles of Travel by Private Vehicle: Score,Person Miles of Travel by Walking: Raw Value,Person Miles of Travel by Walking: Score,Physical Activity from Transportation: Raw Value,Physical Activity from Transportation: Score,Proximity to Major Roadways: Raw Value,Proximity to Major Roadways: Score,"Road Traffic Fatalities per 100,000 Residents - Auto: Raw Value","Road Traffic Fatalities per 100,000 Residents - Auto: Score","Road Traffic Fatalities per 100,000 Residents - Bicycle: Raw Value","Road Traffic Fatalities per 100,000 Residents - Bicycle: Score","Road Traffic Fatalities per 100,000 Residents - Pedestrian: Raw Value","Road Traffic Fatalities per 100,000 Residents - Pedestrian: Score",Road Traffic Fatalities Exposure Rate - Auto: Raw Value,Road Traffic Fatalities Exposure Rate - Auto: Score,Road Traffic Fatalities Exposure Rate - Bicycle: Raw Value,Road Traffic Fatalities Exposure Rate - Bicycle: Score,Road Traffic Fatalities Exposure Rate - Pedestrian: Raw Value,Road Traffic Fatalities Exposure Rate - Pedestrian: Score,Seat Belt Use: Raw Value,Seat Belt Use: Score,Transit Trips per Capita: Raw Value,Transit Trips per Capita: Score,Use of Federal Funds for Bicycle and Pedestrian Efforts: Raw Value,Use of Federal Funds for Bicycle and Pedestrian Efforts: Score,Vehicle Miles Traveled per Capita: Raw Value,Vehicle Miles Traveled per Capita: Score
0,Alabama,alabama,0.95,5.347205,0.004107931,16.561468,0.001122882,6.742892,0.011963536,4.490895,No policy,0,5.334686,15.824364,33882.28823,21.236827,118.261826,8.480592,0.058225966,13.614504,0.001140867,81.133072,17,11.31537,0.1,71.512067,1.5,30.493818,17.9,12.904864,97.9,9.293812,122.4,5.616317,0.895,70.772032,1.6,6.400341,0.013,21.862884,13519.19086,4.35553
1,Alaska,alaska,0.802,93.085707,0.016114783,39.003323,0.011061035,88.115874,0.073865501,99.816916,No policy,0,2.053931,88.335608,22752.10084,93.454468,302.521008,85.120871,0.104,70.329635,0,100.003383,7.6,75.157974,0.2,53.122516,1,69.571798,9.4,70.473913,17.1,82.361915,13.1,96.014444,0.881,63.118014,6.8,37.468257,0.018,45.790031,6349.527419,99.348298
2,Arizona,arizona,0.884,50.019094,0.020065435,45.363365,0.009044766,78.928663,0.020164634,21.691704,No policy,0,3.465041,49.601512,32444.15128,29.226422,210.202287,54.200059,0.102,67.158002,0.01162903,29.4976,10.5,46.82478,0.3,6.079212,2,6.565017,11.9,47.172309,35.4,49.532373,96.3,10.959429,0.822,32.285355,15.1,62.913024,0.018,45.790031,9209.513486,66.25161
3,Arkansas,arkansas,0.937,10.598539,0.004661233,17.729898,0.000781738,4.437632,0.016259985,11.724438,No policy,0,4.84774,21.718995,29175.94255,52.741262,97.845601,3.139059,0.044585987,4.553796,0,100.003383,18.1,8.723581,0.2,54.999913,1.4,33.897177,19.3,9.07764,152.6,2.901037,78.1,18.015568,0.719,5.110117,2.1,10.445575,0.012,17.732354,11214.18487,25.030552
4,California,california,0.849,75.04669,0.051794088,80.024932,0.011205026,88.615969,0.026866868,43.38127,Policy in place,100,2.110533,87.064671,27970.43607,62.301135,361.254825,93.291556,0.142,94.982083,0.034658201,13.502265,6,89.238823,0.3,10.700906,1.6,20.691907,7,89.857811,28.2,61.193102,58.9,31.15422,0.955,95.105325,37.3,85.614854,0.024,72.159886,8515.931455,80.340069
5,Colorado,colorado,0.844,77.558991,0.032290935,62.026134,0.015095362,96.741187,0.033754229,65.258016,Policy in place,100,2.562888,75.274205,28517.38672,57.970016,261.854584,74.871018,0.112,77.845819,0.004080643,58.441681,8.2,69.139631,0.2,38.65506,1,70.020964,9.6,67.893901,15.4,85.599664,32,66.262938,0.807,25.98654,20.8,72.21947,0.021,59.990437,9105.631395,68.519984
6,Connecticut,connecticut,0.87,60.566686,0.047723663,77.03101,0.003330971,27.667244,0.029783172,53.092872,Policy in place,100,2.366525,80.684921,30618.33208,41.644918,307.287754,86.033612,0.114,79.544477,0.011002153,30.97401,6.1,88.276959,0.1,63.324766,1,67.18858,7,90.168973,53.1,29.628298,34.4,62.209328,0.868,55.875958,19.1,69.889699,0.017,40.835645,8692.588151,77.031821
7,Delaware,delaware,0.897,38.876543,0.02542174,53.220616,0.003230754,26.585697,0.022636608,29.278898,Policy in place,100,3.707528,43.429664,37404.25532,8.51012,167.173252,31.438733,0.065116279,20.502864,0,100.003383,9.5,56.449471,0.4,0.66741,2.3,2.959336,10.5,59.123596,137,3.947836,101.6,9.532463,0.879,62.00591,40.1,86.897266,0.037,96.741555,9943.085611,49.762586
8,Florida,florida,0.895,40.42017,0.021705208,47.862294,0.006970447,64.417027,0.015663901,10.474843,Policy in place,100,3.607521,45.914014,25743.09197,78.654284,193.283265,45.608933,0.089101753,51.536458,0.006036794,48.045438,10.3,48.28042,0.6,0.003376,2.6,1.2178,11.5,50.438175,93.1,10.407208,163.2,2.176918,0.874,59.218704,14.4,61.41789,0.035,95.22082,10053.45644,47.320764
9,Georgia,georgia,0.904,32.934726,0.019694156,44.786074,0.001964336,13.736207,0.016887215,13.122452,Policy in place,100,3.035607,61.565998,33477.23343,23.315196,176.945245,36.79159,0.070637119,26.965371,0.011085826,30.769907,11.5,38.515197,0.2,45.86092,1.6,23.54063,12.7,40.011629,84.1,12.978075,101.2,9.630902,0.92,83.122989,16.1,64.90456,0.029,86.49074,11055.19895,27.615782
